id,offstreet_spots
-27106319#4,4
-27106319#5,4
-27116161#2,823
-27116221#0,5
-27120629,14
-27154461#0,9
-27155064#0,4
-27155064#1,7
-271674187,12
-27323686#1,5
-273390876,12
-27361815#1,18
-27370704#2,11
-27370704#6,13
-27370894,32
-273941588#0,10
-27474907#0,13
-274754088,35
-27569338#1,5
-27581181#1,18
-27581181#4,18
-27600362,24
-27606517,25
-27807817#0,31
-27840438#1,29
-27840663#3,27
-27840663#9,52
-27854198,22
-27864961#1,60
-27944009#4,84
-279542287,119
-279580370,42
-27959249,69
-28048692,15
-28100655,449
-281059229#1,43
-281059230#0,85
-281059230#1,28
-281059230#2,8
-28131584#1,42
-28131589#3,14
-281617570,130
-281631708,99
-281631710#12,12
