pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---shopping_7200.0	96	21	5	5	3	1	0	0	0	0	0	0	0
car interaction---shopping_7800.0	89	22	6	6	2	0	1	0	0	0	0	0	0
car interaction---shopping_8400.0	86	14	6	3	1	0	1	0	0	0	0	0	0
car interaction---shopping_9000.0	55	6	5	1	0	1	0	0	0	0	0	0	0
car interaction---shopping_9600.0	59	9	4	0	2	1	0	1	0	0	0	0	0
car interaction---work_10200.0	148	23	5	2	1	0	1	0	0	0	0	0	0
car interaction---work_10800.0	131	26	3	3	1	0	0	0	0	0	0	0	0
car interaction---work_11400.0	158	17	3	2	0	0	1	0	0	0	1	0	0
car interaction---work_1200.0	138	30	10	3	2	2	0	0	0	0	0	0	0
car interaction---work_12000.0	433	64	13	4	3	2	0	1	0	0	0	0	0
car interaction---work_12600.0	141	29	4	7	1	0	0	0	1	0	0	0	0
car interaction---work_13200.0	129	23	8	1	1	0	1	0	0	0	0	0	0
car interaction---work_13800.0	149	24	8	1	1	1	0	1	0	0	0	0	0
car interaction---work_14400.0	133	31	9	3	1	0	0	0	0	0	0	0	0
car interaction---work_15000.0	150	32	9	1	0	0	0	0	0	0	0	0	0
car interaction---work_15600.0	155	39	8	2	1	0	0	0	0	0	0	0	0
car interaction---work_16200.0	157	33	3	3	0	0	0	0	1	0	0	0	0
car interaction---work_16800.0	161	32	4	6	0	0	1	0	0	0	0	0	0
car interaction---work_17400.0	139	23	9	1	1	0	0	0	0	0	0	0	0
car interaction---work_1800.0	213	42	11	4	2	2	2	0	1	0	0	0	0
car interaction---work_18000.0	145	27	10	1	0	0	2	0	0	0	0	0	0
car interaction---work_18600.0	142	29	8	2	2	0	0	0	0	0	0	0	0
car interaction---work_19200.0	131	34	11	2	0	0	0	0	0	0	0	0	0
car interaction---work_19800.0	145	23	7	2	2	0	1	1	0	0	0	0	0
car interaction---work_20400.0	151	26	7	2	3	0	1	0	0	0	0	0	0
car interaction---work_21000.0	182	24	6	4	2	0	0	1	0	0	0	0	0
car interaction---work_21600.0	161	22	10	0	0	2	0	0	0	0	0	0	0
car interaction---work_22200.0	171	29	9	1	0	0	0	0	0	0	0	0	0
car interaction---work_22800.0	167	27	9	2	5	1	0	0	0	1	0	0	0
car interaction---work_23400.0	203	27	3	3	1	1	0	0	0	0	0	1	0
car interaction---work_2400.0	242	38	13	7	6	0	0	0	2	0	0	0	0
car interaction---work_24000.0	168	18	9	2	2	0	0	0	0	0	0	0	0
car interaction---work_24600.0	172	34	7	1	0	0	1	0	0	0	0	0	0
car interaction---work_25200.0	240	50	7	2	3	3	0	0	0	0	0	0	0
car interaction---work_25800.0	207	32	9	2	1	1	0	0	0	0	1	0	0
car interaction---work_26400.0	202	26	2	5	0	0	0	0	0	0	0	0	0
