Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
61	20:11:49	20:11:49	20:11:49	20:11:49	20:12:10	20:12:10			20:12:10	20:12:10	20:13:03	20:13:03	20:13:03	20:13:03	20:13:04	20:13:04			20:13:05	20:13:05		00:00:00	00:00:20		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:16
62	20:13:05	20:13:05	20:13:05	20:13:05	20:13:23	20:13:23			20:13:23	20:13:23	20:14:15	20:14:15	20:14:15	20:14:15	20:14:15	20:14:15			20:14:17	20:14:17		00:00:00	00:00:17		00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:11
63	20:14:17	20:14:17	20:14:17	20:14:17	20:14:35	20:14:35			20:14:35	20:14:35	20:15:28	20:15:28	20:15:28	20:15:28	20:15:28	20:15:28			20:15:30	20:15:30		00:00:00	00:00:17		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:12
64	20:15:30	20:15:30	20:15:30	20:15:30	20:15:50	20:15:50			20:15:51	20:15:51	20:16:44	20:16:44	20:16:44	20:16:44	20:16:44	20:16:44			20:16:47	20:16:47		00:00:00	00:00:20		00:00:00	00:00:52	00:00:00	00:00:00		00:00:03	00:01:17
65	20:16:47	20:16:47	20:16:47	20:16:47	20:17:04	20:17:04			20:17:04	20:17:04	20:17:58	20:17:58	20:17:58	20:17:58	20:17:59	20:17:59			20:18:00	20:18:00		00:00:00	00:00:16		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:12
66	20:18:00	20:18:00	20:18:00	20:18:00	20:18:17	20:18:17			20:18:18	20:18:18	20:19:10	20:19:10	20:19:10	20:19:10	20:19:10	20:19:10			20:19:13	20:19:13		00:00:00	00:00:16		00:00:00	00:00:52	00:00:00	00:00:00		00:00:02	00:01:12
67	20:19:13	20:19:13	20:19:13	20:19:13	20:19:33	20:19:33			20:19:33	20:19:33	20:20:29	20:20:29	20:20:29	20:20:29	20:20:29	20:20:29			20:20:31	20:20:31		00:00:00	00:00:20		00:00:00	00:00:55	00:00:00	00:00:00		00:00:02	00:01:18
68	20:20:31	20:20:31	20:20:31	20:20:31	20:20:50	20:20:50			20:20:50	20:20:50	20:21:45	20:21:45	20:21:45	20:21:45	20:21:45	20:21:45			20:21:47	20:21:47		00:00:00	00:00:18		00:00:00	00:00:54	00:00:00	00:00:00		00:00:02	00:01:16
69	20:21:47	20:21:47	20:21:48	20:21:48	20:22:06	20:22:06			20:22:06	20:22:06	20:23:00	20:23:00	20:23:00	20:23:00	20:23:00	20:23:00			20:23:02	20:23:02		00:00:00	00:00:18		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:14
70	20:23:03	20:23:03	20:23:03	20:23:03	20:23:24	20:23:24			20:23:24	20:23:24	20:24:17	20:24:17	20:24:18	20:24:18	20:24:18	20:24:18	20:24:18	20:24:18	20:24:29	20:24:29		00:00:00	00:00:21		00:00:00	00:00:53	00:00:00	00:00:00	00:00:00	00:00:11	00:01:26
71	20:24:29	20:24:29	20:24:30	20:24:30	20:24:47	20:24:47			20:24:47	20:24:47	20:25:40	20:25:40	20:25:40	20:25:40	20:25:40	20:25:40			20:25:41	20:25:41		00:00:00	00:00:17		00:00:00	00:00:52	00:00:00	00:00:00		00:00:01	00:01:11
72	20:25:41	20:25:41	20:25:41	20:25:41	20:26:00	20:26:00			20:26:00	20:26:00	20:26:54	20:26:54	20:26:54	20:26:54	20:26:54	20:26:54			20:26:55	20:26:55		00:00:00	00:00:18		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:13
73	20:26:56	20:26:56	20:26:56	20:26:56	20:27:19	20:27:19			20:27:19	20:27:19	20:28:12	20:28:12	20:28:12	20:28:12	20:28:12	20:28:12			20:28:16	20:28:16		00:00:00	00:00:23		00:00:00	00:00:53	00:00:00	00:00:00		00:00:03	00:01:20
74	20:28:16	20:28:16	20:28:16	20:28:16	20:28:32	20:28:32			20:28:32	20:28:32	20:29:25	20:29:25	20:29:25	20:29:25	20:29:25	20:29:25			20:29:27	20:29:27		00:00:00	00:00:15		00:00:00	00:00:53	00:00:00	00:00:00		00:00:01	00:01:11
75	20:29:27	20:29:27	20:29:27	20:29:27	20:29:46	20:29:46			20:29:46	20:29:46	20:30:38	20:30:38	20:30:38	20:30:38	20:30:38	20:30:38			20:30:40	20:30:40		00:00:00	00:00:18		00:00:00	00:00:51	00:00:00	00:00:00		00:00:01	00:01:12
76	20:30:40	20:30:40	20:30:40	20:30:40	20:30:58	20:30:58			20:30:59	20:30:59	20:31:51	20:31:51	20:31:51	20:31:51	20:31:51	20:31:51			20:31:54	20:31:54		00:00:00	00:00:18		00:00:00	00:00:52	00:00:00	00:00:00		00:00:02	00:01:14
77	20:31:54	20:31:54	20:31:54	20:31:54	20:32:15	20:32:15			20:32:15	20:32:15	20:33:09	20:33:09	20:33:09	20:33:09	20:33:09	20:33:09			20:33:11	20:33:11		00:00:00	00:00:21		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:17
78	20:33:11	20:33:11	20:33:11	20:33:11	20:33:30	20:33:30			20:33:30	20:33:30	20:34:24	20:34:24	20:34:24	20:34:24	20:34:24	20:34:24			20:34:26	20:34:26		00:00:00	00:00:18		00:00:00	00:00:53	00:00:00	00:00:00		00:00:02	00:01:15
79	20:34:26	20:34:26	20:34:27	20:34:27	20:34:45	20:34:45			20:34:46	20:34:46	20:35:41	20:35:41	20:35:41	20:35:41	20:35:41	20:35:41			20:35:44	20:35:44		00:00:00	00:00:18		00:00:00	00:00:55	00:00:00	00:00:00		00:00:02	00:01:17
