pattern	0+	5+	10+	15+	20+	25+	30+	35+	40+	45+	50+	55+	60+
car interaction---work_1800.0	174	41	12	3	3	3	0	0	0	0	0	0	0
car interaction---work_18000.0	159	28	4	1	0	0	1	0	0	0	0	0	0
car interaction---work_18600.0	138	27	7	6	2	1	1	0	0	0	0	0	0
car interaction---work_19200.0	163	24	7	2	0	1	0	0	0	0	0	0	0
car interaction---work_19800.0	155	28	7	2	2	0	1	0	1	0	0	0	0
car interaction---work_20400.0	135	29	8	2	1	1	1	1	0	0	0	0	0
car interaction---work_21000.0	149	31	3	2	1	0	0	1	0	0	0	0	0
car interaction---work_21600.0	139	28	7	4	2	1	0	1	0	0	0	0	0
car interaction---work_22200.0	126	30	7	1	0	1	0	0	0	0	0	0	0
car interaction---work_22800.0	162	27	6	3	2	0	0	0	0	0	0	0	0
car interaction---work_23400.0	186	32	4	5	0	1	0	0	0	0	0	0	0
car interaction---work_2400.0	235	52	12	5	2	0	1	0	0	0	0	0	0
car interaction---work_24000.0	167	19	7	2	3	0	0	0	0	0	0	0	0
car interaction---work_24600.0	167	43	7	2	1	2	1	0	0	0	0	0	0
car interaction---work_25200.0	220	26	13	1	2	1	0	0	0	0	0	0	0
car interaction---work_25800.0	181	29	8	2	0	1	0	0	0	0	0	0	0
car interaction---work_26400.0	173	21	10	2	1	0	0	0	0	0	0	0	0
car interaction---work_27000.0	193	30	14	1	1	0	0	1	0	0	0	0	0
car interaction---work_27600.0	195	25	8	2	1	1	0	0	0	0	0	0	0
car interaction---work_28200.0	182	39	5	5	2	1	2	0	0	0	0	0	0
car interaction---work_28800.0	242	42	8	3	2	0	2	0	0	0	0	0	0
car interaction---work_29400.0	228	40	19	1	2	1	0	0	0	0	0	0	0
