age,income,economic_status,employment,car_avail,bike_avail,pt_abo_avail,dist_group,main_mode,share
,500 - 900,,,,,,5000 - 10000,ride,0.00015757683182533478
,500 - 900,,,,,,5000 - 10000,walk,5.37989183824766e-05
,500 - 900,,,,,,10000 - 20000,bike,0.00020345638834471633
,500 - 900,,,,,,10000 - 20000,car,0.00046008561008179064
,500 - 900,,,,,,10000 - 20000,pt,0.002760888506726252
,500 - 900,,,,,,10000 - 20000,ride,9.296752316542117e-05
,500 - 900,,,,,,10000 - 20000,walk,3.731758378907825e-05
,500 - 900,,,,,,20000+,bike,1.7932776108010744e-05
,500 - 900,,,,,,20000+,car,9.937523469734491e-05
,500 - 900,,,,,,20000+,pt,0.0010246129298322614
,500 - 900,,,,,,20000+,ride,3.520290554041116e-05
,500 - 900,,,,,,20000+,walk,0.0
,900 - 1500,,,,,,0 - 1000,bike,0.0036030125039514184
,900 - 1500,,,,,,0 - 1000,car,0.0008096352439403976
,900 - 1500,,,,,,0 - 1000,pt,0.0005304901168066659
,900 - 1500,,,,,,0 - 1000,ride,0.00019560944694263635
,900 - 1500,,,,,,0 - 1000,walk,0.02660624854450333
,900 - 1500,,,,,,1000 - 2000,bike,0.004065223415465144
,900 - 1500,,,,,,1000 - 2000,car,0.0018147580719711346
,900 - 1500,,,,,,1000 - 2000,pt,0.0031016548306686265
,900 - 1500,,,,,,1000 - 2000,ride,0.0005664064381921502
,900 - 1500,,,,,,1000 - 2000,walk,0.005282831687822155
,900 - 1500,,,,,,2000 - 5000,bike,0.004835798726788617
,900 - 1500,,,,,,2000 - 5000,car,0.004005939569279477
,900 - 1500,,,,,,2000 - 5000,pt,0.009025057970035024
,900 - 1500,,,,,,2000 - 5000,ride,0.0009725091552085511
,900 - 1500,,,,,,2000 - 5000,walk,0.0016667786156981407
,900 - 1500,,,,,,5000 - 10000,bike,0.0025457362806628335
,900 - 1500,,,,,,5000 - 10000,car,0.004215234417807464
,900 - 1500,,,,,,5000 - 10000,pt,0.01043239622170388
,900 - 1500,,,,,,5000 - 10000,ride,0.0007642456044670178
,900 - 1500,,,,,,5000 - 10000,walk,0.00020946315748903858
,900 - 1500,,,,,,10000 - 20000,bike,0.0005494669964205728
,900 - 1500,,,,,,10000 - 20000,car,0.0028074887081674105
,900 - 1500,,,,,,10000 - 20000,pt,0.0068694456384684665
,900 - 1500,,,,,,10000 - 20000,ride,0.0004903398401965092
,900 - 1500,,,,,,10000 - 20000,walk,3.761382871981281e-05
,900 - 1500,,,,,,20000+,bike,5.085925810983151e-05
,900 - 1500,,,,,,20000+,car,0.0010672818968565573
,900 - 1500,,,,,,20000+,pt,0.002718175621841794
,900 - 1500,,,,,,20000+,ride,0.00023860154836237305
,900 - 1500,,,,,,20000+,walk,3.737374683682059e-05
,1500 - 2000,,,,,,0 - 1000,bike,0.003906483044569717
,1500 - 2000,,,,,,0 - 1000,car,0.001060725000363174
,1500 - 2000,,,,,,0 - 1000,pt,0.000609655153955435
,1500 - 2000,,,,,,0 - 1000,ride,0.00028333230595037974
,1500 - 2000,,,,,,0 - 1000,walk,0.029497186703420167
,1500 - 2000,,,,,,1000 - 2000,bike,0.0050197842930531575
,1500 - 2000,,,,,,1000 - 2000,car,0.0028681812498369277
,1500 - 2000,,,,,,1000 - 2000,pt,0.0031796396587783207
,1500 - 2000,,,,,,1000 - 2000,ride,0.000856614121643278
,1500 - 2000,,,,,,1000 - 2000,walk,0.0073421416410575655
,1500 - 2000,,,,,,2000 - 5000,bike,0.005655283879068705
,1500 - 2000,,,,,,2000 - 5000,car,0.0062605520271039146
,1500 - 2000,,,,,,2000 - 5000,pt,0.00966695728954003
,1500 - 2000,,,,,,2000 - 5000,ride,0.0017578800571828417
,1500 - 2000,,,,,,2000 - 5000,walk,0.0020865704579953
,1500 - 2000,,,,,,5000 - 10000,bike,0.002691588669406727
,1500 - 2000,,,,,,5000 - 10000,car,0.006121933559301505
,1500 - 2000,,,,,,5000 - 10000,pt,0.012104026976708796
,1500 - 2000,,,,,,5000 - 10000,ride,0.0015141964905483394
,1500 - 2000,,,,,,5000 - 10000,walk,0.00014242852425506544
,1500 - 2000,,,,,,10000 - 20000,bike,0.0008133399608978236
,1500 - 2000,,,,,,10000 - 20000,car,0.004168753390349577
,1500 - 2000,,,,,,10000 - 20000,pt,0.008152228651661163
,1500 - 2000,,,,,,10000 - 20000,ride,0.0007736839544154396
,1500 - 2000,,,,,,10000 - 20000,walk,9.602383251572777e-05
,1500 - 2000,,,,,,20000+,bike,0.00010092296430600491
,1500 - 2000,,,,,,20000+,car,0.002089253609395865
,1500 - 2000,,,,,,20000+,pt,0.0028769909408601223
,1500 - 2000,,,,,,20000+,ride,0.00037695422209180646
,1500 - 2000,,,,,,20000+,walk,1.9733993436363767e-05
,2000 - 2600,,,,,,0 - 1000,bike,0.004766926158855704
,2000 - 2600,,,,,,0 - 1000,car,0.0016774651039110759
